step	time
0	76.2
1	84.21666666666667
2	95.23333333333333
3	105.23333333333333
4	115.83333333333333
5	125.71666666666667
6	136.81666666666666
7	145.71666666666667
8	150.71666666666667
9	156.36666666666667
10	75.46666666666667
11	85.25
12	94.63333333333334
13	105.8
14	116.55
15	125.83333333333333
16	136.81666666666666
17	147.08333333333334
18	151.01666666666668
19	157.45
20	74.91666666666667
21	80.2
22	88.76666666666667
23	99.91666666666667
